Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,"INNOVAC. ALTA TECNOLOGIA SOLAR,S.L. ",B54127014,,,,03440 IBI,3440
ES,"ALONSOLAR FOTOVOLTAICA, S.L. ",B91523555,,,,SEVILLA,41011
ES,"BIODIESEL BILBAO, S.L. ",B95407391,,,ESB95407391,48508 ZIERBENA,48508
ES,"AVANT SOLAR INIESTA, SL ",B84697408,,,,MADRID,28036
ES,"ASESORES SPORT FUTBOL, S.A. ",A82306879,,,ESA82306879,BOADILLA DEL MONTE,28669
ES,"ARIADNA SOLAR, S.L. ",B84694637,,,ESB84694637,VILLANUEVA DE LA CAÑADA,28691
ES,ALTERNATIVAS RIOJANAS EOLICAS Y SOL ARES SL,B26310094,,,ESB26310094,LOGROÑO,26006
ES,"ARALJI-SOL, S.L. ",B47577762,,,,VILLAGARCIA DE CAMPOS,47840
ES,"ALET TALDEA, S.L. ",B20870416,,,ESB20870416,BERGARA,20570
ES,"ADVANTIA PLUS, S.L. ",B84578665,,,,PINTO,28320
ES,"NORDEX ENERGY SPAIN, SAU ",A31752603,,,ESA31752603,Barasoain,31395
US,ACCIONA WIND ENERGY CANADA INC.,865058218,,,,CHICAGO,60606
US,ACCIONA ENERGY NORTH AMERICA CORP.,161608728,,,,CHICAGO,60603
KR,"ACCIONA ENERGY KOREA, INC ",2148808462,,,,YOMGOK-DONG,000-000
MX,ACCIONA ENERGIA MEXICO S  RL DE CV,AEM060525PW5,,,,C.Bosques de las Lomas.Cuajimalpa,5120
ES,"ABM-REXEL, S.L.U. ",B28262822,,,ESB28262822,Leganés,28914
ES,"ABENER ENERGÍA, S.A. ",A41679788,,,ESA41679788,SEVILLA,41018
ES,ABASTECIMIENTOS ENERGETICOS SL,B84217876,,,ESB84217876,MADRID,28046
DE,ALEO SOLAR DEUTSCHLAND GmbH,221938406,,,DE221938406,OLDENBURG (ALEMANIA),26122
ES,ALDESA ENERGIAS RENOVABLES SL,B84247634,,,,Mairena del Aljarafe,41927
ES,ALDESA CONSTRUCCIONES SA,A28233534,,,ESA28233534,28042 MADRID,28042
ES,"ALBIASASOLAR, S.L. ",B95385795,,,,BILBAO,48001
ES,ALBAYALDE RENOVA SL,B31882541,,,ESB31882541,TAFALLA,31300
ES,"AL. ENERGÉTICAS Y MEDIOAMBIENTE,SL ",B47531066,,,ESB47531066,VILLANUBLA (P.I.San Cosme II),47620
ES,"AIGÜES DE GIRONA, SALT I SARRIA DE ",A17351248,,,,GIRONA,17004
ES,"AGROELÉCTRICA TUDELANA, S.A. ",A31151772,,,,TUDELA,31500
ES,"ENDESA ENERGÍA, S.A.U. ",A81948077,,,ESA81948077,MADRID,28042
ES,ENDESA GENERACION SA,A82434697,,,ESA82434697,SEVILLA,41004
ES,ENDESA INGENIERIA SL,B82846833,,,ESB82846833,SEVILLA,41092
ES,ENEL GREEN POWER ESPAÑA SL,B61234613,,,ESB61234613,MADRID,28042
ES,"ENERACTIVA, S.L.L. ",B84169317,,,ESB84169317,MADRID,28053
ES,ENERGEA SERVICIOS Y MANTENIMIENTO S,B15614357,,,ESB15614357,Santiago de Compstela,15707
ES,ENERGESA,B26051391,,,ESB26051391,CALAHORRA,26500
AT,ENERGETICA ENERGLETECHNIK Gmbh,ATU49896803,,,ATU49896803,KLAGENFURT-VIKT,9073
ES,EASENERGIA SERVICIOS ENERGETICOS SA,A02399285,,,ESA02399285,RODA (LA),2630
ES,"ELECTRICIDAD EUFON, S.A. ",A40006447,,,ESA40006447,CUELLAR,40200
ES,"ELECTRICIDAD JESÚS BÁRCENAS, S.L. ",B13013834,,,ESB13013834,VALDEPEÑAS,13300
ES,"ELECTRICIDAD LA HOYA, S.A. ",A30131924,,,,LORCA,30816
ES,"ELECTRO INDUX, S.L. ",B47311964,,,ESB47311964,47012 VALLADOLID,47012
ES,"ELECTROTECNIA ERGIO, S.L. ",B34140657,,,,VENTA DE BAÑOS,34200
ES,"SOLUCIÓN SOLAR BIOCLIMÁTICA, S.L. ",B24505372,,,,LEON,24004
ES,SOLUCIONES SISTEMAS SOLARES,B97621080,,,,Zizur Mayor,31180
ES,SUMELEC NAVARRA SL,B31064082,,,ESB31064082,NOAIN,31110
ES,SUMINISTROS ELECTRICOS GABYL GUIPUZ S.A.,A20796041,,,ESA20796041,ASTIGARRAGA,20115
ES,"SUMINISTROS PUIGCERCOS, S.L. ",B07512288,,,ESB07512288,PALMA DE MALLORCA,7009
ES,"SUMINISTROS SOLARES, S.L. ",B82293739,,,ESB82293739,MADRID,28005
ES,RENOVALIA O&M SL,B02419273,,,ESB02419273,Villarrobledo,2600
ES,"SUNPOWER ENERGY SYSTEMS SPAIN, S.L. ",B84795319,,,ESB84795319,MADRID,28046
ES,"ENERGÍA SOLAR APLICADA, S.L. ",B12593216,,,ESB12593216,Castellón de la Plana,12006
ES,"SOLARTEK, S.L. ",B95305884,,,,LARRABETZU,48195
ES,"SOLnet 2000 Catcentral, S.L. ",B63498018,,,,SANT FRUITOS DE BAGES,8272
ES,"SOLPICU ELECTRICIDAD, S.L. ",B33905654,,,,33013 GIJON,33013
ES,SOLTEC ENERGIAS RENOVABLES SL,B73292161,,,ESB73292161,MOLINA DE SEGURA,30500
ES,"SOLTEC INGENIEROS, S.L.L. ",B36881415,,,ESB36881415,VIGO,36310
ES,Abengoa Solar España S.A.,A91185314,,,ESA91185314,SEVILLA,41014
